image_path,product_height,product_length,product_width,unit
84\84c3f376.jpg,116.078,72.136,76.454,centimeters
41\415dafb5.jpg,113.538,65.532,70.866,centimeters
c2\c2c2b93f.jpg,232.0036,262.9916,0.0508,centimeters
27\2767fe48.jpg,38.1,38.1,5.08,centimeters
11\11b87755.jpg,116.078,72.136,76.454,centimeters
e3\e3cd7cd8.jpg,6.35,37.465,8.89,centimeters
82\82c02d1a.jpg,11,35.4,17.5,centimeters
2f\2f626eda.jpg,17.145,25.7175,3.81,centimeters
06\06d74f7b.jpg,17.78,5.08,5.08,centimeters
5a\5a18ed47.jpg,113.538,65.532,70.866,centimeters
11\11e686ca.jpg,17.78,5.08,5.08,centimeters
c2\c207813c.jpg,23.114,23.114,23.114,centimeters
c1\c14ab796.jpg,74.93,81.28,40.64,centimeters
62\62125e3c.jpg,0.4064,28.4988,24.9936,centimeters
10\109a9856.jpg,55.5498,38.1,32.385,centimeters
70\705e6c8a.jpg,1.27,114.3,50.8,centimeters
d1\d180b9c6.jpg,75,80,160,centimeters
71\712f2f61.jpg,2.54,259.08,228.6,centimeters
25\2503f1ad.jpg,12.7,38.1,55.88,centimeters
38\38b2cda2.jpg,23.114,6.6294,6.6294,centimeters
8c\8cc05393.jpg,2.54,259.08,228.6,centimeters
a1\a1f30466.jpg,6.4008,34.29,32.639,centimeters
1a\1a353945.jpg,18.4,41.6,15.8,centimeters
84\844d594e.jpg,0.9906,13.97,13.97,centimeters
03\034903fc.jpg,23.114,6.6294,6.6294,centimeters
2d\2d58cfd1.jpg,2.54,259.08,274.32,centimeters
0f\0fc83205.jpg,26.67,6.35,17.78,centimeters
14\14b9d065.jpg,88.9,88.9,43.18,centimeters
b5\b551ecd5.jpg,10.668,14.224,3.81,centimeters
07\0766fddd.jpg,10.16,18.4912,18.4912,centimeters
95\95e722f6.jpg,38.1,38.1,5.08,centimeters
64\645f92bf.jpg,38.1,38.1,5.08,centimeters
b5\b5d412e8.jpg,1.397,8.4074,10.2108,centimeters
2f\2fb5f097.jpg,24,60,43,centimeters
f7\f77291eb.jpg,2.54,259.08,274.32,centimeters
74\74e8e5ec.jpg,4.191,8.9916,8.2042,centimeters
59\5955ee8c.jpg,27.58186,5.9055,10.414,centimeters
32\320bb178.jpg,50,38,45,centimeters
62\62cb4a8a.jpg,7.62,203.2,152.4,centimeters
dc\dcc08b0f.jpg,10.16,8.128,12.7,centimeters
df\dfd0e3cd.jpg,76.5,40,160,centimeters
34\342de2fb.jpg,10.16,15.24,10.16,centimeters
e3\e3de25e7.jpg,20.955,3.81,6.858,centimeters
05\0582a67f.jpg,17.78,5.08,5.08,centimeters
5c\5c194754.jpg,38.1,38.1,5.08,centimeters
27\27bc813f.jpg,24.13,30.48,22.86,centimeters
00\0066de49.jpg,1.016,12.446,6.096,centimeters
78\781e8cc3.jpg,20,10,10,centimeters
32\3243e9c4.jpg,76.2,139.954,139.954,centimeters
2c\2c670948.jpg,0.9906,13.97,13.97,centimeters
8c\8c2cc14f.jpg,14.605,2.9972,5.0038,centimeters
c1\c16309e8.jpg,2.2,15.5,23.4,centimeters
70\702fc3c7.jpg,41.275,35.052,36.449,centimeters
62\6209a1d2.jpg,17.78,5.08,5.08,centimeters
50\50a7f62e.jpg,60,60,3,centimeters
75\753bcd98.jpg,3.556,228.6,3.556,centimeters
06\06230fa5.jpg,0.9906,13.97,13.97,centimeters
85\85524f85.jpg,114.808,81.28,72.39,centimeters
c3\c326a348.jpg,10.16,30.48,15.24,centimeters
f6\f63318ac.jpg,19,32,18,centimeters
ce\ce5b9502.jpg,2.54,259.08,274.32,centimeters
f4\f4416827.jpg,10.16,8.128,12.7,centimeters
5c\5c8ebef3.jpg,20,10,10,centimeters
47\477e49ff.jpg,14.9225,28.575,9.525,centimeters
b5\b5319e00.jpg,5,5,5,centimeters
5c\5cc73402.jpg,10.9982,29.9974,20.0152,centimeters
fe\fe94686c.jpg,17.78,5.08,5.08,centimeters
ee\ee1180e8.jpg,7.112,18.542,6.096,centimeters
1b\1b07b04d.jpg,0.3048,27.9908,23.495,centimeters
1a\1a986d1e.jpg,17.78,5.08,5.08,centimeters
d1\d10f54d1.jpg,0.2032,2.3876,3.048,centimeters
a6\a68658cc.jpg,0.762,11.684,0.762,centimeters
37\37b71264.jpg,11,33.5,17,centimeters
a7\a74ee7ab.jpg,17.78,5.08,5.08,centimeters
d2\d25eab6e.jpg,102.87,54.61,55.245,centimeters
a8\a83715b4.jpg,2.6,6.2,3.5,centimeters
00\00de0fb5.jpg,17.78,5.08,5.08,centimeters
f7\f7cac53c.jpg,90.932,75.946,88.9,centimeters
3e\3eb7bea7.jpg,60.96,279.4,213.36,centimeters
ca\ca4b3c1e.jpg,127,71.12,40.64,centimeters
39\39e7469f.jpg,17.78,5.08,5.08,centimeters
44\44af9f29.jpg,2.54,48.26,20.32,centimeters
1e\1e9f5de3.jpg,80,195,100,centimeters
15\15e3091f.jpg,17.78,5.08,5.08,centimeters
a5\a567d20f.jpg,2.54,259.08,274.32,centimeters
80\806df0b5.jpg,1.27,11.7475,6.985,centimeters
d1\d15b093a.jpg,76.2,43.18,48.26,centimeters
81\81c585d3.jpg,7.112,379.73,9.144,centimeters
a8\a8552d35.jpg,17.78,5.08,5.08,centimeters
fd\fd277c3e.jpg,17.78,5.08,5.08,centimeters
72\7299c162.jpg,32.9946,32.9946,29.9974,centimeters
46\46e9034b.jpg,10.16,8.128,12.7,centimeters
a7\a74c8afa.jpg,6.985,30.988,3.302,centimeters
a0\a0fc7dc0.jpg,11.43,71.12,44.45,centimeters
7f\7f34519e.jpg,13.97,33.02,19.05,centimeters
21\21aee3ab.jpg,10.5,19,2,centimeters
07\07d70c78.jpg,33.655,27.305,27.305,centimeters
4b\4b7250f0.jpg,31.4452,42.2402,43.815,centimeters
6b\6b8ee5ef.jpg,59.4,29,19.7,centimeters
1a\1a02ed5e.jpg,4.8514,8.2804,5.334,centimeters
f6\f64f6ef3.jpg,170,15,3,centimeters
40\403cd415.jpg,29.845,17.78,23.495,centimeters
2a\2a251155.jpg,23.368,44.196,0.508,centimeters
d7\d7b06227.jpg,182.88,27.94,27.94,centimeters
cf\cf4d6034.jpg,5.0038,5.0038,5.0038,centimeters
41\41fda343.jpg,182.88,27.94,27.94,centimeters
65\65679cae.jpg,1.143,19.9898,2.794,centimeters
82\8261d24c.jpg,4.3942,12.5984,9.8044,centimeters
52\52542fd6.jpg,45.212,147.32,40.64,centimeters
a5\a518749a.jpg,3.5052,3.5052,8.6106,centimeters
85\85536488.jpg,2.4892,24.9936,13.9954,centimeters
34\34069762.jpg,3.81,8.9916,7.3914,centimeters
68\68637426.jpg,5.715,137.16,7.62,centimeters
c9\c94c0c4c.jpg,42.2402,37.7952,44.45,centimeters
29\294c23a2.jpg,14.732,7.366,7.366,centimeters
3b\3b475587.jpg,30.1752,38.735,27.0002,centimeters
79\79857b63.jpg,10.16,0,0,centimeters
7a\7a4240fe.jpg,62.23,33.02,33.02,centimeters
cd\cd115f87.jpg,25.0952,25.0952,13.6652,centimeters
f4\f47ab43b.jpg,3.175,9.525,9.525,centimeters
91\91960d41.jpg,4.0894,33.0962,5.334,centimeters
a8\a8ace80f.jpg,51.7652,39.37,32.7152,centimeters
0f\0f7ef0af.jpg,4.0386,24.6888,4.826,centimeters
ad\ad0c9414.jpg,24.765,13.589,11.938,centimeters
7e\7eb1009d.jpg,127,165.1,4.4958,centimeters
27\273b2506.jpg,5.08,30.226,5.08,centimeters
b8\b845dd83.jpg,80.01,74.93,86.36,centimeters
f6\f62d29c2.jpg,42.545,42.545,75.565,centimeters
a2\a2bad743.jpg,2.2606,24.511,5.334,centimeters
18\18984b83.jpg,17.78,0,3200.4,centimeters
3a\3a5be898.jpg,7.62,20.32,12.7,centimeters
45\450c13bc.jpg,0,0,0,centimeters
30\30d91077.jpg,31.115,22.225,22.225,centimeters
8d\8daaa9f0.jpg,7.112,18.542,6.096,centimeters
fa\face34b5.jpg,46.0502,39.7002,40.005,centimeters
e7\e7107e2b.jpg,30.7975,29.845,21.11375,centimeters
5e\5e36da5d.jpg,36.83,24.13,24.13,centimeters
43\435fd7f4.jpg,16.9926,5.461,4.445,centimeters
a8\a87ec3be.jpg,91.44,85.725,69.85,centimeters
fe\fe6ac660.jpg,47,135,70,centimeters
95\95ff0200.jpg,14.478,7.874,7.874,centimeters
8d\8df2dc11.jpg,76,40,152,centimeters
03\036011d6.jpg,33.02,23.495,23.495,centimeters
5e\5e4a5ba4.jpg,63.5,147.32,119.38,centimeters
be\beac6bda.jpg,6.604,16.256,16.256,centimeters
18\18caf37e.jpg,63.8302,25.0952,38.735,centimeters
0e\0e278aeb.jpg,35.8902,27.6352,27.94,centimeters
09\097bc762.jpg,0.2032,2.3876,3.048,centimeters
8d\8d05f551.jpg,5.334,16.256,4.572,centimeters
cb\cb115819.jpg,42.2402,32.0802,32.0802,centimeters
ad\adc4f2c8.jpg,37.7952,20.0152,36.195,centimeters
db\db3dd648.jpg,2.5,62,33,centimeters
01\0137479f.jpg,4.0894,34.4932,6.35,centimeters
84\848773df.jpg,79.5,40,159,centimeters
b5\b512d1b2.jpg,45.466,29.845,10.9982,centimeters
d3\d362c59a.jpg,93.98,165.1,88.9,centimeters
c2\c2d8acd2.jpg,148.59,35.56,35.56,centimeters
2d\2d353619.jpg,46.0502,29.845,18.1102,centimeters
56\56ba597b.jpg,26.67,39.37,39.37,centimeters
c0\c0f4b2c8.jpg,93.98,205.74,88.9,centimeters
62\6215828d.jpg,123.9,48.3,27.4,centimeters
ee\ee085dc5.jpg,3.81,24.7904,4.826,centimeters
bc\bcad273b.jpg,9.398,8.382,8.382,centimeters
db\dba68e8d.jpg,116.84,144.78,48.26,centimeters
9c\9cee449f.jpg,52,40,50,centimeters
f4\f425d8bf.jpg,18.4912,43.815,15.875,centimeters
8b\8b497642.jpg,36.4998,45.4914,48.9966,centimeters
42\42160767.jpg,10.922,7.874,7.874,centimeters
14\14f32b3d.jpg,35,80,80,centimeters
90\90d8ece7.jpg,19.2024,19.5072,8.7884,centimeters
24\24538384.jpg,47,36,40,centimeters
dd\ddb2d783.jpg,25.0952,46.0502,46.355,centimeters
3b\3b4acfb6.jpg,34.0106,27.9908,34.0106,centimeters
ba\ba3e8c99.jpg,46.355,20.955,12.7,centimeters
40\4082dde5.jpg,19.177,6.858,6.858,centimeters
b7\b788e25d.jpg,86.36,73.66,60.96,centimeters
0c\0cd4828b.jpg,40.005,42.0116,42.0116,centimeters
43\43c008e7.jpg,38.735,24.765,24.765,centimeters
ac\ac5c1286.jpg,35.56,22.225,22.225,centimeters
bb\bb1a47ce.jpg,3.81,20.4978,4.826,centimeters
06\06642c85.jpg,72.39,25.4,27.94,centimeters
0b\0bafe415.jpg,35.56,23.876,23.876,centimeters
b8\b8fe3136.jpg,2.2606,24.511,5.334,centimeters
cf\cfdae86b.jpg,35.8902,37.1602,37.465,centimeters
72\72f3b980.jpg,28.448,8.9916,8.9916,centimeters
8c\8c953094.jpg,27.0002,38.1,27.6352,centimeters
90\90c47e09.jpg,11.049,29.845,7.239,centimeters
d4\d45e3afe.jpg,0.9906,13.97,13.97,centimeters
31\31d753e9.jpg,170,15,4,centimeters
8a\8ad739ee.jpg,3.81,29.1084,4.826,centimeters
c2\c25e7297.jpg,10,20,15,centimeters
f0\f0e18dbc.jpg,43.5102,38.735,38.4302,centimeters
c3\c3429b41.jpg,10.16,5.08,7.62,centimeters
01\012e20ee.jpg,22.86,33.02,33.02,centimeters
4b\4b7d51d6.jpg,0.1,0.1,0.1,centimeters
61\61f66d46.jpg,47.3202,42.8752,43.18,centimeters
98\98426107.jpg,37.1602,37.1602,37.465,centimeters
ef\ef930cab.jpg,11.6332,6.6548,3.8608,centimeters
06\06d11a04.jpg,8.382,8.128,8.128,centimeters
44\446404a2.jpg,54.61,37.465,37.465,centimeters
78\7823ec7f.jpg,0.0254,32.893,29.8958,centimeters
91\91319629.jpg,22.86,15.875,5.3975,centimeters
8b\8bee5ffe.jpg,56.2102,13.0302,39.1922,centimeters
6d\6d99bc79.jpg,5,100,5,centimeters
09\090d7df9.jpg,48.895,33.02,17.78,centimeters
57\57fe4e17.jpg,5,20,20,centimeters
4d\4dfbca1b.jpg,49.53,21.59,21.59,centimeters
3f\3fc2ab2b.jpg,40.64,39.37,39.37,centimeters
f7\f777ec9b.jpg,53.34,27.94,27.94,centimeters
8e\8e6b262d.jpg,62.23,33.02,33.02,centimeters
6f\6f840c00.jpg,0.9144,5.8928,1.778,centimeters
00\001ccf7d.jpg,35.56,23.495,23.495,centimeters
69\69effcec.jpg,116.078,72.136,76.454,centimeters
6f\6fac5b57.jpg,24.765,7.4295,7.4295,centimeters
2a\2a6ba302.jpg,5.08,53.34,30.9372,centimeters
31\31da4a50.jpg,1.27,7.62,1.905,centimeters
4c\4c0c77bd.jpg,25.019,28.194,11.049,centimeters
66\66b7ffb3.jpg,8.001,2.0066,2.8956,centimeters
1c\1c70a42b.jpg,52.07,39.37,28.73375,centimeters
a0\a0aa5965.jpg,64.135,30.48,30.48,centimeters
df\df7daec3.jpg,78,100,42,centimeters
55\55b69fab.jpg,25.7302,37.465,28.9052,centimeters
a4\a4efba8c.jpg,39,90,90,centimeters
5b\5b5fbebf.jpg,6.985,11.43,10.795,centimeters
94\94de0492.jpg,13.0048,42.5958,6.7056,centimeters
2d\2d66313a.jpg,36.195,23.495,23.495,centimeters
22\2287d9b0.jpg,0.4064,12.954,5.842,centimeters
5e\5e92b58c.jpg,5.4864,8.001,8.9916,centimeters
22\223e92a7.jpg,119.38,162.56,63.5,centimeters
09\09eb9c3e.jpg,55.5498,38.1,32.385,centimeters
2b\2b72d2b3.jpg,2.5908,34.1884,5.08,centimeters
82\82fe991a.jpg,2.8448,2.8448,121.2088,centimeters
28\28adeb91.jpg,8.382,19.558,8.382,centimeters
e5\e5daa7ec.jpg,35.2552,32.0802,32.385,centimeters
6f\6f384811.jpg,31.4452,42.2402,42.545,centimeters
03\03f3c440.jpg,5.08,27.94,40.64,centimeters
34\34cab85e.jpg,7.62,10.16,7.62,centimeters
76\765254a1.jpg,152.4,30.48,30.48,centimeters
6d\6d83b851.jpg,1.143,19.9898,2.794,centimeters
19\19f66016.jpg,31.4452,42.2402,42.545,centimeters
58\58431f28.jpg,4.572,9.398,9.398,centimeters
29\295e6e22.jpg,8.5344,4.8006,4.8006,centimeters
2f\2f3da4c2.jpg,47,36,40,centimeters
d1\d175ab22.jpg,42.8752,31.115,30.8102,centimeters
f2\f2ca5658.jpg,45.085,130.175,45.085,centimeters
c3\c32194bf.jpg,12.7,15.24,7.62,centimeters
5e\5ea00d14.jpg,48.895,33.02,17.78,centimeters
da\da73b666.jpg,5.842,32.004,5.715,centimeters
42\421cb89d.jpg,30.48,30.48,38420832.48,centimeters
43\4393e1bf.jpg,2,28,24,centimeters
f1\f114710d.jpg,2.032,34.29,24.384,centimeters
bd\bd9b7f14.jpg,20.32,48.26,14.605,centimeters
0e\0e7fc41f.jpg,9.49198,14.5923,9.54024,centimeters
f0\f0e13943.jpg,10.922,12.446,12.446,centimeters
18\180b1128.jpg,0,187.96,144.78,centimeters
18\18195db2.jpg,2,18,14,centimeters
0c\0cc6dc35.jpg,67.0052,20.0152,32.385,centimeters
7e\7e2a3902.jpg,42.2402,33.3502,33.655,centimeters
a9\a998f587.jpg,39.37,22.225,22.225,centimeters
a1\a1f33c85.jpg,19.7104,2.54,6.6802,centimeters
db\dbef721a.jpg,2.54,17.78,3.81,centimeters
c7\c754be75.jpg,10.16,5.08,7.62,centimeters
bd\bd106086.jpg,13.97,33.02,19.05,centimeters
43\43d77dfb.jpg,23.5966,35.56,6.1976,centimeters
ea\eae33b10.jpg,30.8102,40.9702,41.275,centimeters
11\11d23f5d.jpg,14.478,8.382,8.382,centimeters
11\1143694c.jpg,2.3876,48.895,3.302,centimeters
a3\a3b67955.jpg,46.99,22.86,22.86,centimeters
16\16c32deb.jpg,49.53,21.59,21.59,centimeters
f9\f90e6e54.jpg,8.509,12.4968,8.9916,centimeters
53\5369694a.jpg,1.9,60,90,centimeters
db\db81e31d.jpg,2,32,25,centimeters
8b\8b6b3fa7.jpg,51.9938,24.9936,50.0126,centimeters
f0\f0058190.jpg,79.5,40,80.5,centimeters
6f\6fd57211.jpg,22.86,33.02,33.02,centimeters
05\053bf252.jpg,50.0126,37.465,37.0078,centimeters
68\68a21b1b.jpg,4.0894,52.0954,6.35,centimeters
db\dbbd3c47.jpg,52.5018,45.9994,45.9994,centimeters
3c\3cfbb94c.jpg,3.81,19.1008,4.826,centimeters
c9\c98fcce8.jpg,38.735,24.765,24.765,centimeters
3d\3d56a063.jpg,0.0508,231.14,236.22,centimeters
aa\aa196aa8.jpg,38.1,38.1,5.08,centimeters
d6\d612e2d9.jpg,34.0106,27.9908,34.0106,centimeters
51\513937ae.jpg,27.94,25.4,32.7152,centimeters
89\892d3925.jpg,31.4452,42.2402,43.815,centimeters
7c\7cc9e8c4.jpg,4.572,4.572,39.37,centimeters
19\199fdd82.jpg,5,20,20,centimeters
39\39e2005f.jpg,1.3208,11.8364,6.1976,centimeters
84\845e21a9.jpg,63.5,30.48,30.48,centimeters
02\02302bca.jpg,0.762,14.478,7.62,centimeters
6c\6cb4cd82.jpg,39.37,27.94,27.94,centimeters
80\800f9d1f.jpg,40.64,27.94,10.16,centimeters
0c\0c5a0e7b.jpg,5.0038,5.3086,4.8006,centimeters
28\2819a174.jpg,8.89,8.89,8.89,centimeters
93\9353c7d3.jpg,42.8752,39.7002,40.005,centimeters
2d\2d21def0.jpg,79,165,92,centimeters
e4\e421d341.jpg,3.4925,18.65122,10.7442,centimeters
b3\b3fc67b6.jpg,99.06,228.6,101.6,centimeters
f3\f3f96b45.jpg,48.006,48.006,7.366,centimeters
70\708e411d.jpg,59.0042,50.4952,25.1968,centimeters
6f\6fc7088e.jpg,37.9984,33.5026,32.512,centimeters
41\41819331.jpg,3.81,32.004,4.826,centimeters
2f\2f3bda18.jpg,10.414,9.5504,9.5504,centimeters
2a\2ae083a2.jpg,7.62,55.88,25.4,centimeters
4b\4bba7284.jpg,16.66875,4.1275,3.53822,centimeters
7f\7f3df600.jpg,93.98,198.12,91.44,centimeters
9c\9c81a7cf.jpg,41.5036,30.5054,30.5054,centimeters
45\45b18d22.jpg,35.9918,37.9984,37.9984,centimeters
c0\c020fe34.jpg,33.02,31.75,36.576,centimeters
0f\0f57fb3b.jpg,38.1,38.1,5.08,centimeters
bc\bca5d81f.jpg,47,36,40,centimeters
f4\f45fe14d.jpg,15.24,56.896,33.782,centimeters
42\42bd16c7.jpg,0.2032,2.3876,3.048,centimeters
4a\4a9d2a95.jpg,10,54,25.5,centimeters
d9\d9cecdb5.jpg,19.05,26.67,5.08,centimeters
fe\fedc62af.jpg,7.112,18.542,6.096,centimeters
bf\bf0b84bd.jpg,7.874,8.89,8.89,centimeters
c8\c8e7343c.jpg,4.8514,8.763,6.5024,centimeters
74\74f5d35d.jpg,33.655,27.305,27.305,centimeters
62\62a0b0bf.jpg,13.97,7.874,7.874,centimeters
1a\1a897203.jpg,29.95,7.61,7.61,centimeters
df\df19b6dd.jpg,48.006,30.988,29.972,centimeters
99\99b071c6.jpg,23.495,22.86,22.86,centimeters
7b\7b036a7d.jpg,12.6365,6.58876,6.58876,centimeters
3f\3fba2f26.jpg,8,47,16,centimeters
ff\ff6d9e52.jpg,7.1628,49.9872,12.9794,centimeters
6e\6e853683.jpg,1.5,45,60,centimeters
e6\e6125a19.jpg,16.7,20,15,centimeters
df\df0238c7.jpg,37.1602,21.9202,22.225,centimeters
a8\a84696d0.jpg,6.9088,42.3164,6.9088,centimeters
8b\8b439669.jpg,1.4224,2.4384,1.6256,centimeters
06\0644012a.jpg,49.53,21.59,21.59,centimeters
41\41f9b2d6.jpg,41,60,42,centimeters
3f\3fb9447f.jpg,38.735,24.765,24.765,centimeters
5e\5ec1ddf2.jpg,6.985,6.985,6.985,centimeters
54\54a04847.jpg,4.0894,27.7876,5.334,centimeters
4a\4a193b91.jpg,5.08,37.846,23.114,centimeters
20\20be3843.jpg,19.1262,32.2072,26.9748,centimeters
d8\d8da1077.jpg,0.9906,13.97,13.97,centimeters
23\23f74cf9.jpg,56.515,27.0002,35.8902,centimeters
2e\2e8d9c8b.jpg,27.94,25.4,32.7152,centimeters
a7\a75e34bb.jpg,4.0386,27.6098,4.826,centimeters
2c\2c072bcd.jpg,7.112,5.08,5.08,centimeters
ef\efe3f7de.jpg,33.02,22.225,22.225,centimeters
ed\edf5b926.jpg,19.4818,27.178,26.924,centimeters
27\27b77a81.jpg,20,87,27,centimeters
39\39939ba8.jpg,27.94,20.32,20.32,centimeters
c4\c4fc945b.jpg,30.0228,36.322,24.7142,centimeters
57\578911c1.jpg,42.8752,21.2852,38.1,centimeters
14\14c89e8e.jpg,33.655,27.305,27.305,centimeters
06\06e7730c.jpg,56,36,40,centimeters
48\48aa7e8a.jpg,147.955,33.02,33.02,centimeters
33\33512c27.jpg,5.0038,5.3086,4.8006,centimeters
05\05f5772d.jpg,4.3942,9.1948,6.8072,centimeters
57\572767f9.jpg,91.44,60.96,53.34,centimeters
be\be461dc9.jpg,79,180,90,centimeters
64\64035d04.jpg,91.44,137.16,44.45,centimeters
4d\4d474019.jpg,38.4302,23.1902,23.495,centimeters
ef\ef2ff632.jpg,44.7802,40.3352,41.91,centimeters
17\17568659.jpg,2.54,177.8,127,centimeters
19\1926b3ed.jpg,47,36,40,centimeters
ad\adb46306.jpg,17.78,43.815,23.495,centimeters
05\0582fc91.jpg,9.5,56,24,centimeters
66\66b455e1.jpg,53.34,27.94,27.94,centimeters
fb\fb4149b0.jpg,62,43,40,centimeters
1f\1f144afd.jpg,36.195,23.495,23.495,centimeters
f6\f6ddf948.jpg,35.56,23.495,23.495,centimeters
4e\4e8b6af0.jpg,36.195,32.7152,33.02,centimeters
e5\e53d33fb.jpg,147.955,33.02,33.02,centimeters
6a\6a4c6691.jpg,30.7975,29.845,21.11375,centimeters
35\354bee9d.jpg,48.5902,46.0502,50.165,centimeters
19\19c710a5.jpg,33.02,22.225,22.225,centimeters
7b\7ba776d6.jpg,45.72,28.575,10.4902,centimeters
5d\5d50e136.jpg,19.177,6.858,6.858,centimeters
b7\b7b957d2.jpg,30.00502,40.80002,64.77,centimeters
8f\8f97f26a.jpg,20.066,19.05,19.05,centimeters
dc\dcac4a24.jpg,11.6332,6.6548,3.8608,centimeters
c9\c9dde787.jpg,3.556,228.6,3.556,centimeters
c3\c3e366e4.jpg,12.954,14.097,40.64,centimeters
4e\4ea70bc1.jpg,5.08,42.926,5.08,centimeters
f5\f5bd825c.jpg,1.524,16.764,7.112,centimeters
56\56162342.jpg,41.5036,30.5054,30.5054,centimeters
75\7540d688.jpg,4.191,13.589,8.7884,centimeters
24\243fe6d8.jpg,6.9088,60.452,8.2042,centimeters
af\af5534dc.jpg,167.64,12.7,12.7,centimeters
1e\1eea8e26.jpg,6.096,6.096,6.096,centimeters
b7\b7a216ea.jpg,0.9906,13.97,13.97,centimeters
56\56377635.jpg,5.334,5.842,14.732,centimeters
a7\a76d81a3.jpg,30.1752,27.94,22.5552,centimeters
db\db476b27.jpg,36.83,24.13,24.13,centimeters
2f\2fac1e1d.jpg,49.2252,16.8402,22.225,centimeters
a4\a4f78e1e.jpg,29.845,17.78,23.495,centimeters
0c\0c5ee716.jpg,35.56,22.225,22.225,centimeters
2c\2c29bcb8.jpg,36.83,23.495,23.495,centimeters
df\df563ab3.jpg,7.62,5.08,5.08,centimeters
0f\0f574bd6.jpg,27.0002,38.1,27.6352,centimeters
74\746685ef.jpg,38.735,36.98875,26.67,centimeters
39\399107d5.jpg,45.72,29.845,10.9982,centimeters
3b\3baf0b3b.jpg,36.5252,23.1902,29.845,centimeters
c4\c4e9a238.jpg,41.5036,30.5054,30.5054,centimeters
35\35fc0f73.jpg,0.5,23,22,centimeters
51\51c13d7d.jpg,13,25,25,centimeters
9a\9ae35491.jpg,3.5052,16.5862,15.8242,centimeters
99\9991e14d.jpg,35.9918,37.9984,37.9984,centimeters
f0\f02bcbdd.jpg,23.8125,10.795,10.4775,centimeters
73\7364f5b0.jpg,0.1016,1.4986,1.0922,centimeters
60\60a9c007.jpg,23.495,15.24,12.065,centimeters
1a\1a974d7d.jpg,26.67,20.47748,20.47748,centimeters
d1\d1c01a9f.jpg,49.53,42.4942,42.4942,centimeters
dd\dd7f9b9c.jpg,0.9906,13.97,13.97,centimeters
ee\eeebecc9.jpg,107,30,32,centimeters
bb\bb10888b.jpg,165.1,29.845,29.845,centimeters
f5\f59702c4.jpg,51.1302,28.2702,45.085,centimeters
0c\0c478d04.jpg,20.5,15,13,centimeters
